words,translated_words
^^,^^
^ro,^ro
``,``
aa,A A
aaah,aaah
aaargh,aaargh
aad,aad
aadna,aadna
aah,aah
aahh,aahh
aai,aai
aajkal,aajkal
aake,aake
aamiin,aamiin
aamir,aamir
aan,aan
aap,aap
aapka,aapka
aapki,aapki
aapl,aapl
aati,aati
aau,aau
aaya,aaya
aayega,aayega
ab,ab
aba,aba
ababu,ababu
abad,abad
abadi,abadi
abah,abah
abai,abai
abaikan,abaikan
abakozi,abakozi
abal,abal
abalan,abalan
abang,abang
abangnya,abangnya
abbas,Abbas
abc,abc
abd,abd
abdi,abdi
abdul,abdul
abdur,Abdur
abel,abel
abf,abf
abh,abh
abhi,abhi
abhishek,abhishek
abi,abi
abiri,abiri
abis,abis
abisnya,abisnya
able,mampu
ablo,ablo
abnormalitas,kelainan
abot,tentang
about,tentang
abrik,singkat
absend,tidak hadir
abstract,abstrak
abstrak,abstrak
absurd,absurd
abt,tentang
abu,abu
abuja,abuja
abura,abura
abuse,melecehkan
ac,ac
academia,akademisi
academic,akademik
academy,akademi
acak,acak
acapkali,acapkali
acara,acara
acaranya,acaranya
acc,acc
accent,aksen
accenture,accenture
access,mengakses
accessible,dapat diakses
account,akun
accounting,akuntansi
accra,accra
accurate,tepat
accuse,menuduh
ace,kartu as
aceh,aceh
acer,acer
acha,acha
achana,achana
achievement,pencapaian
achuz,achuz
acik,acik
acinetobacter,acinetobacter
acknowledge,mengakui
acount,akun
act,bertindak
acting,akting
action,tindakan
activate,mengaktifkan
active,aktif
activity,aktivitas
actor,aktor
actors,aktor
actresses,aktris
actual,sebenarnya
actually,Sebenarnya
acuan,acuan
acuh,acuh
acuhkan,acuhkan
ad,iklan
ada,ada
adab,adab
adain,adain
adakah,adakah
adakan,adakan
adalah,adalah
adalahmemfasilitasi,adalah memfasilitasi
adalahpositivedengan,adalah positif dengan
adalahsalah,adalah salah
adalh,adalah
adama,adama
adamawa,adamawa
adanya,adanya
adapt,adaptasi
adaptasi,adaptasi
adaptasinya,adaptasinya
adaptation,adaptasi
adaptif,adaptif
adaption,adaptasi
adapun,adapun
adarniya,adarniya
adas,adas
adat,adat
adatu,adat
adblocker,pemblokir iklan
add,menambahkan
added,ditambahkan
additional,tambahan
additive,aditif
addo,addo
addu,addu
ade,ade
adegan,adegan
adegannya,adegannya
adeh,adeh
adei,adei
adek,adek
adekku,adekku
adeknya,adeknya
adesua,adesua
adf,adf
adha,adha
adhi,adhi
adhives,adhesif
adhu,adhu
adi,adi
adidaya,adidaya
adie,adie
adiga,adiga
adik,adik
adiknya,adiknya
adil,adil
adiratna,adiratna
aditya,aditya
adiwira,adiwira
adjust,menyesuaikan
adl,adl
adlaah,adalah
adlh,adalah
admin,admin
administrasi,administrasi
administratif,administratif
admit,mengakui
adnya,adnya
adobe,adobe
adolf,adolf
adopsi,adopsi
adopt,adopsi
adoption,adopsi
adopts,adopsi
adrenaline,adrenalin
adrian,Adrian
ads,iklan
adsense,AdSense
adu,adu
aduan,aduan
aduh,aduh
aduhai,aduhai
aduk,aduk
adult,dewasa
adun,adun
advance,maju
advanced,canggih
advancements,kemajuan
advani,advani
advantage,keuntungan
advantages,keuntungan
advent,kedatangan
adventures,petualangan
adversarial,bermusuhan
advetorial,advetorial
advisor,penasihat
advocate,menganjurkan
advokasi,advokasi
advokat,advokat
adzmi,adzmi
ae,ae
aed,aed
ael,ael
aeroangkasa,aeroangkasa
aerodinamika,aerodinamika
aerospace,luar angkasa
aespa,aespa
aesthetic,estetis
af,af
afahamu,afahamu
afantasia,afantasia
afc,afc
affah,affah
affairs,urusan
affected,terpengaruh
affet,mempengaruhi
affilate,berafiliasi
affiliate,afiliasi
afghan,Afghanistan
afh,afh
afham,afham
afiche,afiche
afiliasi,afiliasi
afriandi,afriandi
africa,Afrika
afrika,Afrika
afsaana,afsaana
after,setelah
aftra,setelahnya
afurika,afurika
ag,ag
aga,lagi
again,lagi
against,melawan
agak,agak
agaknya,agaknya
agama,agama
agamamu,agamamu
agan,agan
agar,agar
agasa,agasa
agastya,agastya
agate,agate
agatha,agatha
agaya,agaya
age,usia
agen,agen
agency,agen
agenda,Jadwal acara
agensi,agensi
agensia,agensia
agensinya,agensinya
agent,agen
aggarwal,aggarwal
aggregator,agregator
agi,agi
agih,agih
agile,lincah
agirukka,agirukka
agix,agix
agjend,agjend
agk,agk
agnation,agnasi
agnez,agnez
ago,yang lalu
agraria,pertanian
agree,setuju
agreed,setuju
agreeing,setuju
agreement,persetujuan
agresi,agresi
agri,pertanian
agribisnis,agribisnis
agritech,teknologi pertanian
agroteknologi,agroteknologi
agsjdgdkd,agsjdgdkd
agt,agt
agu,agu
agung,agung
agus,Agustus
agust,Agustus
agustian,Agustus
agustus,Agustus
agya,agya
ah,ah
ahad,ahad
ahah,ahah
ahaha,ahahaha
ahahah,ahahaha
ahahaha,ahahaha
ahahhaha,ahahaha
ahangane,ahangane
aharaku,aharaku
aharuge,aharuge
aharun,aharun
ahead,depan
aheze,aheze
ahh,ahh
ahigeze,ahigeze
ahlak,ahlak
ahlhaa,ahlhaa
ahli,ahli
ahliartificial,ahliartificial
ahlinya,ahlinya
ahlulbait,ahlulbait
ahmad,ahmad
ahmada,ahmada
ahmadiyah,Ahmadiyah
ahmed,ahmed
aho,aho
ahora,sekarang
ahtiat,ahtiat
ahto,ahto
ahuja,ahuja
ahwhdjfkk,ahwhdjfkk
ahy,ah
ahyr,ahir
ahz,ahz
ai,ai
aia,aia
aiad,bantuan
aiadvertising,iklan aia
aib,aib
aibros,aibros
aibu,aibu
aiceo,aiceo
aicoms,Aicoms
aicoo,aicoo
aidan,aidan
aidrop,tetesan bantuan
aiforce,aiforce
aiga,aiga
aigc,aigc
aige,aige
aii,aii
aiin,aiin
aik,baiklah
aikaka,aikaka
aiki,aiki
aikin,aikin
aikinshi,aikinshi
aiman,aiman
aimeningkatkan,membidikkan
aims,tujuan
aimx,aimx
ain,ain
aina,aina
aing,aing
aint,tidak
ainud,ainud
ainun,ainun
ainusantara,ainusantara
ainya,ainya
aiot,aiot
air,udara
airbnb,Airbnb
airdrop,tetesan udara
airi,airi
airlangga,airlangga
airputih,airputih
aitech,aitech
aiterutaiikiwo,aiterutaiikiwo
aiyo,aiyo
aj,aj
aja,aja
ajaa,ajaa
ajabu,ajabu
ajah,ajah
ajaib,ajaib
ajaibnya,ajaibnya
ajak,ajak
ajakan,ajakan
ajaklah,ajajaklah
ajal,ajal
ajalah,ajalah
ajang,ajang
ajar,terbuka sedikit
ajaran,ajaran
ajarin,ajarin
ajarlah,ajalah
ajasih,ajasih
aje,ya
ajg,ajg
ajgg,ajgg
aji,aji
ajili,ajili
ajira,ajira
ajitoe,ajitoe
ajkal,ajkal
ajukan,ajukan
ak,aku
aka,alias
akademik,akademik
akademikanya,akademikanya
akademikk,akademikk
akademiknya,akademiknya
akademis,akademi
akademisi,pelajar
akadlalelli,akadlalelli
akagirwa,akagirwa
akah,akah
akakusaidia,akakusaidia
akal,masuk akal
akalan,akalan
akamatsu,akamatsu
akamwambia,akamwambia
akan,akan
akane,akane
akang,akang
akankah,akankah
akar,akar
akarnya,akarnya
akaun,akunn
akaunti,akuunti
akee,baiklah
akeh,baiklah
akhbar,akhbar
akherat,akherat
akhinya,akhinya
akhir,akhir
akhiri,akhiri
akhirnya,akhirnya
akhirnyaa,akhirnyaa
akhlak,akhlak
akhmaloka,akhmaloka
akhrisan,akhrisan
akhwat,akhwat
akhy,akhy
